alias,games,first_downs,fourth_down_att,fourth_down_conv,fourth_down_conv_pct,fumbles,fumbles_lost,net_pass_yds,pass_att,pass_cmp,pass_int,pass_tds,pass_yds,passer_rating,penalties,penalty_yds,rush_att,rush_tds,rush_yds,third_down_att,third_down_conv,third_down_conv_pct,time_of_possession,times_sacked,total_yds,turnovers,yds_sacked_for,name,market
MIN,322,6225,303,151,90.433,482,228,69774,10474,6612,302,450,74791,28296.285999999996,2082,17301,8904,307,40560,4210,1680,126.8690000000001,585748,829,110334,530,5017,Vikings,Minnesota
CHI,317,5545,328,153,95.716,485,221,62402,10302,6091,346,394,67229,24741.310000000005,1964,16373,8558,221,34268,4243,1479,108.962,565207,748,96670,567,4827,Bears,Chicago
KC,321,6355,307,155,92.833,392,190,71479,10505,6466,259,452,75874,28148.732,1961,15985,8904,325,39721,4144,1587,121.30400000000002,577150,734,111200,449,4395,Chiefs,Kansas City
IND,336,7186,263,145,94.929,386,193,86264,12259,7742,310,622,89762,31087.831000000013,1856,15049,8804,271,34599,4360,1921,147.01800000000006,600962,542,120863,503,3498,Colts,Indianapolis
WAS,316,5863,310,143,84.28399999999999,513,236,67817,10514,6375,292,406,73068,26445.793999999994,2068,17390,8671,231,36011,4215,1557,114.34100000000004,575641,741,103828,528,5251,Football Team,Washington
CAR,325,6082,258,118,77.072,448,220,66216,10280,6021,330,419,71550,26621.646000000004,1962,16271,9296,293,39390,4302,1637,121.52400000000002,591581,746,105606,550,5334,Panthers,Carolina
ATL,325,6457,313,151,89.001,390,195,73296,10888,6751,286,478,78164,28519.392000000007,1883,16248,8887,278,38231,4280,1769,132.098,594001,762,111527,481,4868,Falcons,Atlanta
SF,321,5782,307,161,105.434,488,223,64453,10080,6021,274,413,69587,26879.186,2088,17078,8893,261,38910,4271,1549,113.72700000000007,575096,829,103363,497,5134,49ers,San Francisco
CLE,311,5240,332,156,90.467,446,215,61540,10299,5946,369,343,66780,22978.003000000008,1990,16485,7864,183,31289,4161,1446,105.65400000000008,536125,796,92829,584,5240,Browns,Cleveland
JAC,317,5867,394,198,105.98399999999998,448,215,64644,10408,6164,275,391,69843,25958.793,1953,16296,8794,255,37757,4323,1614,115.89700000000008,572080,845,102401,490,5199,Jaguars,Jacksonville
NE,350,7737,355,204,122.417,404,182,89132,12663,8047,243,654,93246,33370.195,1994,17334,10034,366,39738,4716,2027,149.07299999999998,648747,675,128870,425,4114,Patriots,New England
TB,317,5836,275,130,77.833,455,220,69660,10793,6505,330,434,74252,26333.37900000001,2104,17457,8300,202,33014,4198,1594,118.63600000000004,575735,733,102674,550,4592,Buccaneers,Tampa Bay
PIT,335,6713,279,139,92.099,450,206,78304,11008,6886,321,515,83289,30098.642000000003,1963,17323,9692,297,39409,4459,1859,137.642,643628,778,117713,527,4985,Steelers,Pittsburgh
BAL,334,6263,306,152,98.34799999999998,499,233,67964,11126,6658,308,412,72968,27000.563999999995,2247,18666,9870,272,40266,4728,1818,126.68300000000008,616863,731,108230,541,5004,Ravens,Baltimore
NO,326,7014,331,173,110.967,440,223,87798,12198,7951,304,626,91707,30897.017000000003,2096,18172,8604,305,35786,4317,1913,143.03799999999995,604425,597,123584,527,3909,Saints,New Orleans
DET,313,5836,326,144,79.85,411,199,72456,11561,6889,351,441,77364,25110.67900000001,2140,17704,7406,199,28894,4196,1520,111.71600000000008,554372,777,101308,550,4908,Lions,Detroit
NYG,326,6312,308,128,77.4,494,227,75098,11419,6843,334,483,79312,27208.345,2025,17282,8826,262,36984,4356,1641,120.44300000000004,591929,636,112082,561,4214,Giants,New York
ARI,319,5890,294,141,87.75200000000001,519,244,72243,11438,6752,374,426,77653,25138.142999999985,2096,16922,7763,211,29265,4238,1540,113.59600000000006,565932,787,101508,618,5410,Cardinals,Arizona
